pdb_id,dockq,lddt,tm_score
8tuz-assembly1,0.009,0.783,0.675
8tuz-assembly1,0.012,0.783,0.675
7xld-assembly1,0.031,0.568,0.628
8bf4-assembly1,0.005,0.153,0.364
8pyr-assembly1,0.006,0.175,0.244
8pyr-assembly1,0.007,0.175,0.244
8pih-assembly1,0.038,0.566,0.387
8fdo-assembly1,0.3,0.807,0.898
8fdd-assembly1,0.058,0.857,0.949
8fdd-assembly1,0.071,0.857,0.949
7x8p-assembly1,0.062,0.715,0.772
7x8p-assembly1,0.066,0.715,0.772
8h63-assembly1,0.034,0.759,0.697
8ux6-assembly1,0.174,0.893,0.95
8ux6-assembly1,0.113,0.893,0.95
8w90-assembly1,0.007,0.731,0.565
8e0e-assembly1,0.015,0.368,0.367
8hxq-assembly1,0.283,0.634,0.409
8ido-assembly1,0.026,0.788,0.564
